Zipcode,ZipCodeType,City,State,LocationType,Lat,Long,Location,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages,avg_wage
80204,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,11921,19554,353118109,29621.51741
80205,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,13419,20189,456593085,34025.86519
80206,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,12660,17428,801819600,63334.88152
80207,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,9526,16074,401958975,42195.9873
80208,UNIQUE,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
80209,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,12573,17885,844136386,67138.82017
8021,STANDARD,CLEMENTON,NJ,PRIMARY,39.8,-74.98,NA-US-NJ-CLEMENTON,FALSE,22635,37348,819258817,36194.33696
80210,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,16312,24620,957388520,58692.28298
80211,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,15726,24038,649687601,41312.95949
80212,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,9383,14083,401884019,42831.07951
80214,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,10965,17497,323200163,29475.61906
80215,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,9137,14911,350293195,38337.87841
80216,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,4358,7757,113895957,26134.91441
80217,PO BOX,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,299,461,12986152,43431.94649
80218,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,10809,13313,525937276,48657.34814
80219,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,23795,43975,625985776,26307.45014
8022,STANDARD,COLUMBUS,NJ,PRIMARY,40.06,-74.68,NA-US-NJ-COLUMBUS,FALSE,4558,8335,240529695,52770.88526
80220,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,16867,26623,945670035,56066.28535
80221,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,16403,28839,474676207,28938.37755
80222,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,10118,15441,380502719,37606.51502
80223,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,7628,12745,223464252,29295.26114
80224,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,8954,14019,327232403,36545.94628
80225,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
80226,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,15152,24554,520587984,34357.7075
80227,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,17021,28159,716205722,42077.76993
80228,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,15815,26317,762101954,48188.55226
80229,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,20826,37272,704198228,33813.41727
8023,PO BOX,DEEPWATER,NJ,PRIMARY,39.62,-75.51,NA-US-NJ-DEEPWATER,FALSE,287,461,9458964,32958.06272
80230,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,3434,5613,245105364,71376.05242
80231,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,16076,24423,598761069,37245.64998
80232,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,10636,17785,372616183,35033.48844
80233,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,21044,36739,830752519,39476.93019
80234,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,12131,20539,574285443,47340.32174
80235,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,3720,6000,149636214,40224.78871
80236,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,6910,11942,226626486,32796.88654
80237,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,9818,15048,450369817,45871.84936
80238,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,4302,8277,406434447,94475.69665
80239,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,14418,27586,433704889,30080.79408
80241,STANDARD,THORNTON,CO,PRIMARY,39.76,-104.87,NA-US-CO-THORNTON,FALSE,14121,25982,759623328,53793.87635
80243,UNIQUE,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
80244,UNIQUE,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
80246,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,6441,9347,259154119,40235.07514
80247,STANDARD,DENVER,CO,PRIMARY,39.69,-104.88,NA-US-CO-DENVER,FALSE,12381,17955,375207918,30305.13836
80248,PO BOX,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
80249,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,9665,17986,422851724,43750.82504
8025,PO BOX,EWAN,NJ,PRIMARY,39.71,-75.23,NA-US-NJ-EWAN,FALSE,,,,#DIV/0!
80250,PO BOX,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,500,678,18281052,36562.104
80251,UNIQUE,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
80252,UNIQUE,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
80256,UNIQUE,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
80257,UNIQUE,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
80259,UNIQUE,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
8026,STANDARD,GIBBSBORO,NJ,PRIMARY,39.83,-74.96,NA-US-NJ-GIBBSBORO,FALSE,1183,2097,55239286,46694.24007
80260,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,12548,21814,358041709,28533.76705
80261,UNIQUE,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
80262,UNIQUE,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
80263,UNIQUE,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
80264,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
80265,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
80266,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
8027,STANDARD,GIBBSTOWN,NJ,PRIMARY,39.82,-75.27,NA-US-NJ-GIBBSTOWN,FALSE,2567,4419,106114189,41337.82197
80271,UNIQUE,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
80273,UNIQUE,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
80274,UNIQUE,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
80279,UNIQUE,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
8028,STANDARD,GLASSBORO,NJ,PRIMARY,39.7,-75.11,NA-US-NJ-GLASSBORO,FALSE,7778,13452,330389745,42477.46786
80280,UNIQUE,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
80281,UNIQUE,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
8029,STANDARD,GLENDORA,NJ,PRIMARY,39.84,-75.06,NA-US-NJ-GLENDORA,FALSE,2339,4040,93258747,39871.20436
80290,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
80291,UNIQUE,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
80293,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
80294,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
80295,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
80299,STANDARD,DENVER,CO,PRIMARY,39.76,-104.87,NA-US-CO-DENVER,FALSE,,,,#DIV/0!
